sku,name,description,price
SKU-20A68F4E,Product 1,Description for product 1,633.34
SKU-5CB97EC4,Product 2,Description for product 2,540.18
SKU-75B96ED2,Product 3,Description for product 3,831.02
SKU-89F1BC7F,Product 4,Description for product 4,961.27
SKU-CCD66600,Product 5,Description for product 5,594.6
SKU-241C9A23,Product 6,Description for product 6,359.71
SKU-1A3E7919,Product 7,Description for product 7,537.81
SKU-5D653FA5,Product 8,Description for product 8,139.38
SKU-2163B3CD,Product 9,Description for product 9,786.4
SKU-BF56A7F5,Product 10,Description for product 10,100.8
SKU-A5A095D5,Product 11,Description for product 11,264.18
SKU-FEFDA375,Product 12,Description for product 12,738.27
SKU-EA65D2BA,Product 13,Description for product 13,203.13
SKU-782194C4,Product 14,Description for product 14,734.64
SKU-4C7F4CC3,Product 15,Description for product 15,208.78
SKU-C409F17B,Product 16,Description for product 16,452.24
SKU-5020587E,Product 17,Description for product 17,522.11
SKU-992C0280,Product 18,Description for product 18,834.06
SKU-83B7124F,Product 19,Description for product 19,147.86
SKU-7994DAC2,Product 20,Description for product 20,779.11
SKU-04F93146,Product 21,Description for product 21,556.36
SKU-527F5D34,Product 22,Description for product 22,246.34
SKU-ADFFA0A2,Product 23,Description for product 23,384.39
SKU-76D1A0DE,Product 24,Description for product 24,613.76
SKU-9603B622,Product 25,Description for product 25,42.35
SKU-8F049BEB,Product 26,Description for product 26,211.96
SKU-76209647,Product 27,Description for product 27,761.87
SKU-C3A02099,Product 28,Description for product 28,660.51
SKU-B9B5F9C9,Product 29,Description for product 29,242.76
SKU-C1D21519,Product 30,Description for product 30,41.42
SKU-B4D3ADC0,Product 31,Description for product 31,324.2
SKU-87F14675,Product 32,Description for product 32,618.3
SKU-80F3C9F5,Product 33,Description for product 33,970.35
SKU-B3DB92E9,Product 34,Description for product 34,47.08
SKU-2346720E,Product 35,Description for product 35,819.75
SKU-36A76DD9,Product 36,Description for product 36,378.45
SKU-B8A731DE,Product 37,Description for product 37,575.34
SKU-B069A177,Product 38,Description for product 38,622.18
SKU-41AC3A51,Product 39,Description for product 39,35.97
SKU-1800DB99,Product 40,Description for product 40,464.11
SKU-66FEB052,Product 41,Description for product 41,901.17
SKU-EEBEE0BD,Product 42,Description for product 42,595.52
SKU-41B2471A,Product 43,Description for product 43,170.6
SKU-F04DA41A,Product 44,Description for product 44,431.79
SKU-270E3882,Product 45,Description for product 45,720.16
SKU-36D9B2E2,Product 46,Description for product 46,343.91
SKU-A5E4FD16,Product 47,Description for product 47,316.62
SKU-1D7EBC62,Product 48,Description for product 48,818.77
SKU-CD134F53,Product 49,Description for product 49,627.63
SKU-867C3D6D,Product 50,Description for product 50,610.3
SKU-422328F0,Product 51,Description for product 51,261.44
SKU-8C10C0FA,Product 52,Description for product 52,749.67
SKU-B2E491A9,Product 53,Description for product 53,888.63
SKU-2E136247,Product 54,Description for product 54,196.18
SKU-274AA8BC,Product 55,Description for product 55,106.58
SKU-88DF8449,Product 56,Description for product 56,248.36
SKU-4AE485BE,Product 57,Description for product 57,858.36
SKU-BAB16F82,Product 58,Description for product 58,132.22
SKU-E7B9A0F5,Product 59,Description for product 59,37.85
SKU-9800EC11,Product 60,Description for product 60,300.36
SKU-DAE919F1,Product 61,Description for product 61,779.34
SKU-6A79B84A,Product 62,Description for product 62,727.27
SKU-CE8BDD40,Product 63,Description for product 63,467.43
SKU-00E90DE3,Product 64,Description for product 64,38.18
SKU-5C70801C,Product 65,Description for product 65,322.02
SKU-915D5DAD,Product 66,Description for product 66,982.53
SKU-56536594,Product 67,Description for product 67,562.16
SKU-54DEDF01,Product 68,Description for product 68,250.46
SKU-0E8BBCBC,Product 69,Description for product 69,922.52
SKU-39D501E9,Product 70,Description for product 70,830.55
SKU-0E176E42,Product 71,Description for product 71,567.13
SKU-0187BBC1,Product 72,Description for product 72,995.33
SKU-99DDA45E,Product 73,Description for product 73,163.31
SKU-B8EFFDAC,Product 74,Description for product 74,639.72
SKU-FDC7154E,Product 75,Description for product 75,781.71
SKU-D6D47019,Product 76,Description for product 76,484.27
SKU-42910EC2,Product 77,Description for product 77,253.15
SKU-A5B322A5,Product 78,Description for product 78,494.91
SKU-D138F9FE,Product 79,Description for product 79,534.47
SKU-B6EBFE6C,Product 80,Description for product 80,16.73
SKU-B32D4026,Product 81,Description for product 81,184.89
SKU-14D3C0A5,Product 82,Description for product 82,209.58
SKU-86E49041,Product 83,Description for product 83,824.84
SKU-CB6B62E2,Product 84,Description for product 84,263.21
SKU-0CC85C04,Product 85,Description for product 85,373.13
SKU-746C8494,Product 86,Description for product 86,353.51
SKU-4CF04FF1,Product 87,Description for product 87,344.58
SKU-2A2F87E1,Product 88,Description for product 88,837.16
SKU-2472E54A,Product 89,Description for product 89,780.85
SKU-AC801CF4,Product 90,Description for product 90,141.93
SKU-2D7C6C75,Product 91,Description for product 91,677.71
SKU-EC5FF3CB,Product 92,Description for product 92,332.54
SKU-B0D838D6,Product 93,Description for product 93,577.75
SKU-6BC9C026,Product 94,Description for product 94,701.23
SKU-5582B49B,Product 95,Description for product 95,793.72
SKU-4025D084,Product 96,Description for product 96,112.97
SKU-A5110D5A,Product 97,Description for product 97,764.25
SKU-71F10EFD,Product 98,Description for product 98,312.65
SKU-AA53D47E,Product 99,Description for product 99,929.61
SKU-B67E3229,Product 100,Description for product 100,489.01
SKU-3DF1FC09,Product 101,Description for product 101,737.88
SKU-8F089313,Product 102,Description for product 102,409.37
SKU-AA86B4BB,Product 103,Description for product 103,533.14
SKU-1E62E0B0,Product 104,Description for product 104,442.71
SKU-E1B835FE,Product 105,Description for product 105,115.49
SKU-93D287C2,Product 106,Description for product 106,525.37
SKU-562DC5DD,Product 107,Description for product 107,79.01
SKU-73DB5CCE,Product 108,Description for product 108,792.87
SKU-193BB9ED,Product 109,Description for product 109,936.83
SKU-A5B377A3,Product 110,Description for product 110,787.63
SKU-4A854BF9,Product 111,Description for product 111,468.79
SKU-4CC5F2ED,Product 112,Description for product 112,827.32
SKU-E8EC5A3D,Product 113,Description for product 113,463.56
SKU-D1C0F039,Product 114,Description for product 114,565.74
SKU-FBE6CAD9,Product 115,Description for product 115,800.64
SKU-E815947B,Product 116,Description for product 116,491.33
SKU-F33B55B2,Product 117,Description for product 117,410.54
SKU-44B872BC,Product 118,Description for product 118,724.6
SKU-67528F56,Product 119,Description for product 119,909.44
SKU-993F1E54,Product 120,Description for product 120,331.16
SKU-60E93B3C,Product 121,Description for product 121,650.6
SKU-F211428B,Product 122,Description for product 122,557.35
SKU-2792D501,Product 123,Description for product 123,878.35
SKU-95AE10FA,Product 124,Description for product 124,27.5
SKU-DBBB2080,Product 125,Description for product 125,44.72
SKU-E242A4B2,Product 126,Description for product 126,601.29
SKU-3C663059,Product 127,Description for product 127,55.52
